quarter,start date,end date,portfolio type,start value,end value,log return,portfolio range
11,06/2011,09/2011,unweighted,26719.127700000026,20981.745900000005,-0.2417268853218335,15-30
11,06/2011,09/2011,unweighted,16380.667900000004,13134.730100000002,-0.22084197815680717,5-15
11,06/2011,09/2011,unweighted,2420.5303499999977,1858.7111999999995,-0.2641033247197546,0-5
12,09/2011,12/2011,unweighted,116749.31995000003,125716.35005000001,0.07399910744174854,100+
12,09/2011,12/2011,unweighted,15693.604599999995,16536.493,0.05231635662865486,60-100
12,09/2011,12/2011,unweighted,31625.786599999978,34946.87459999995,0.09985622032283459,30-60
12,09/2011,12/2011,unweighted,24459.159000000014,27016.66070000002,0.09944899165987309,15-30
12,09/2011,12/2011,unweighted,17724.89439999997,19002.27570000001,0.06958863096479817,5-15
12,09/2011,12/2011,unweighted,3004.036600000003,3180.540749999998,0.05709431192285486,0-5
13,12/2011,03/2012,unweighted,127803.26005000001,136513.03997999997,0.06592809043470993,100+
13,12/2011,03/2012,unweighted,19118.243,20860.529900000012,0.08721584183918019,60-100
13,12/2011,03/2012,unweighted,36496.29459999994,39509.081100000025,0.07931980912271008,30-60
13,12/2011,03/2012,unweighted,25265.913200000028,27935.092500000002,0.10042751120880844,15-30
13,12/2011,03/2012,unweighted,16448.49669999999,18420.004200000007,0.11320317182297934,5-15
13,12/2011,03/2012,unweighted,2679.825849999996,3269.9743999999964,0.1990303450642381,0-5
14,03/2012,06/2012,unweighted,139507.0999799999,141856.92607999998,0.016703490971487156,100+
14,03/2012,06/2012,unweighted,24668.174400000007,23355.137399999974,-0.05469694994706131,60-100
14,03/2012,06/2012,unweighted,39283.197400000005,36835.3126,-0.06433991378452397,30-60
14,03/2012,06/2012,unweighted,26880.88130000001,25340.3276,-0.059018198589598114,15-30
14,03/2012,06/2012,unweighted,15676.732299999992,14851.810200000024,-0.0540558371598987,5-15
14,03/2012,06/2012,unweighted,2451.1066,2302.4026500000027,-0.06258638792906357,0-5
15,06/2012,09/2012,unweighted,141690.79107999997,149555.11409000008,0.05401782527908594,100+
15,06/2012,09/2012,unweighted,21331.273399999987,21786.002910000007,0.021093464577857546,60-100
15,06/2012,09/2012,unweighted,37302.75670000001,39066.89030000001,0.04620808277608646,30-60
15,06/2012,09/2012,unweighted,27245.53869999998,28239.108400000005,0.03581804961376811,15-30
15,06/2012,09/2012,unweighted,15851.31630000001,16239.907299999988,0.024219082395497082,5-15
15,06/2012,09/2012,unweighted,2493.7051500000034,2699.653500000001,0.07935381490962357,0-5
16,09/2012,12/2012,unweighted,151491.83909000002,152434.72575,0.006204720442754663,100+
16,09/2012,12/2012,unweighted,22388.831710000006,21349.38069999998,-0.047539517923315344,60-100
16,09/2012,12/2012,unweighted,40188.817099999986,39983.91049999999,-0.005111639638526455,30-60
16,09/2012,12/2012,unweighted,27405.244299999995,27119.68970000005,-0.010474371623692136,15-30
16,09/2012,12/2012,unweighted,14970.07579999999,14534.70640000002,-0.029513927590546274,5-15
16,09/2012,12/2012,unweighted,2376.4001999999996,2372.8670000000006,-0.001487892975077898,0-5
17,12/2012,03/2013,unweighted,152286.80305,175955.16898000005,0.1444636357575515,100+
17,12/2012,03/2013,unweighted,23447.836599999977,25157.63990000001,0.07038338900288998,60-100
17,12/2012,03/2013,unweighted,39751.24219999999,43820.87980000007,0.0974693206293864,30-60
17,12/2012,03/2013,unweighted,27337.46950000006,29639.468299999957,0.08084859135181333,15-30
17,12/2012,03/2013,unweighted,14611.148700000032,15906.781100000006,0.08496065568247779,5-15
17,12/2012,03/2013,unweighted,2463.1346000000017,2786.7455000000014,0.12343966105456161,0-5
18,03/2013,06/2013,unweighted,179190.65498,191487.64996999994,0.06637296489084754,100+
18,03/2013,06/2013,unweighted,28486.945900000017,28167.83198999999,-0.011265326481154858,60-100
18,03/2013,06/2013,unweighted,43489.05070000006,43410.29609999998,-0.0018125480676527417,30-60
18,03/2013,06/2013,unweighted,27621.509299999958,27621.030199999987,-1.7345328593876275e-05,15-30
18,03/2013,06/2013,unweighted,14075.322099999996,14083.033199999998,0.0005476953544061303,5-15
18,03/2013,06/2013,unweighted,2244.6622,2405.5933499999987,0.06924154613845168,0-5
19,06/2013,09/2013,unweighted,192108.19996999996,195380.53401000003,0.016890358599360056,100+
19,06/2013,09/2013,unweighted,30718.719989999998,32799.27095999997,0.06553404789461936,60-100
19,06/2013,09/2013,unweighted,42255.1095,45053.55529999994,0.06412661851693002,30-60
19,06/2013,09/2013,unweighted,27423.418300000012,29110.33480000003,0.05969592805105073,15-30
19,06/2013,09/2013,unweighted,15163.034699999997,16157.60689999998,0.06353041597404285,5-15
19,06/2013,09/2013,unweighted,2128.069250000002,2436.5008000000025,0.1353477983980591,0-5
20,09/2013,12/2013,unweighted,200104.42497000008,209849.27605,0.04755018479023576,100+
20,09/2013,12/2013,unweighted,33299.768999999964,35746.757999999994,0.07090911968776936,60-100
20,09/2013,12/2013,unweighted,45047.154799999975,47983.72649999994,0.06315209660669652,30-60
20,09/2013,12/2013,unweighted,28106.049900000013,29398.80579999999,0.04496920237344426,15-30
20,09/2013,12/2013,unweighted,14622.642999999995,15102.519799999982,0.03229038633441306,5-15
20,09/2013,12/2013,unweighted,1950.934900000001,2164.8664999999996,0.10405000315524848,0-5
